,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-05-25,6,512920.44,121915.95999999999,710059.86154,34221.90067,1257202.20221,30.555555555555557,3.472222222222222,18.416666666666668,3.0361466666666668,969.5940067916666,9.38784
2014-05-26,0,510621.35,129733.57,764732.47062,32829.813420000006,1308183.63404,32.59259259259259,3.5879629629629632,17.083333333333332,2.9057600000000003,970.3559445416666,10.28192
2014-05-27,1,642583.55,125148.20999999999,957364.22299,33794.01701,1633741.79,34.44444444444444,2.9629629629629632,15.208333333333334,3.3528000000000002,970.5675939166666,8.9408
2014-05-28,2,630940.37,110253.34,565378.99268,37477.919480000004,1233797.28216,34.09722222222222,-0.8796296296296298,11.416666666666666,3.4831866666666667,968.2112308750001,0.0
2014-05-29,3,626690.39,96724.90000000001,634414.08017,38184.220590000004,1299288.69076,33.333333333333336,4.00462962962963,15.916666666666666,4.0792399999999995,969.43879725,12.51712
2014-05-30,4,633068.14,127268.43,934136.44268,34708.398530000006,1601912.9812099999,34.166666666666664,5.162037037037037,17.75,2.8685066666666668,968.2394507916666,7.59968
2014-05-31,5,594290.03,124925.74,861089.90016,33043.75525,1488423.68541,35.208333333333336,2.6620370370370368,14.083333333333334,2.9802666666666666,967.152984,11.176
2014-06-01,6,552845.68,131851.37,824268.31696,34819.765510000005,1411933.76247,34.25925925925926,-2.615740740740741,10.5,3.24104,967.3787433333333,8.9408
2014-06-02,0,626397.36,120560.29000000001,986804.88931,35997.91093,1649200.16024,34.93055555555556,-3.1712962962962963,10.0,2.775373333333333,966.772015125,0.0
2014-06-03,1,650872.84,113954.9,978178.9896,36088.76294,1665140.5925399999,35.11574074074074,-3.1712962962962963,9.958333333333334,2.477346666666667,966.4474860833333,0.0
2014-06-04,2,639383.44,123781.06,971341.62507,41636.596970000006,1652361.66204,34.4212962962963,-10.0,6.416666666666667,2.831253333333333,965.9536375416666,10.72896
2014-06-05,3,645949.13,126326.27,943286.76226,40857.02811000001,1630092.92037,33.88888888888889,-9.976851851851851,7.083333333333333,2.477346666666667,964.8107309166667,10.28192
2014-06-06,4,695887.59,128327.18,920492.62805,39048.780040000005,1655428.9980900001,33.148148148148145,-8.00925925925926,7.541666666666667,3.1851599999999998,964.2040027083334,9.83488
2014-06-07,5,632468.5,128205.02,841786.63464,36375.97252,1510631.10716,33.68055555555556,-5.046296296296297,9.166666666666666,3.0734,964.6696313333333,9.83488
2014-06-08,6,604523.09,128633.40000000001,849970.51779,33969.85961,1488463.4674,34.21296296296296,0.0462962962962963,12.25,2.086186666666667,965.7419881666666,0.0
2014-06-09,0,675300.61,125805.27,1013070.40803,35801.553360000005,1724172.57139,35.300925925925924,0.27777777777777785,12.375,2.2165733333333333,966.3204964583333,0.0
